id,type,name,design,rank,role,base_atk,base_def,passive_name,passive_text,lore,tags,kind,rarity,tier
rolling-boulder,card,Rolling Boulder,"A colossal round creature of stacked stone plates bound by moss and old mortar, its stubby limbs tucked tight so the silhouette reads as one perfect boulder, a single glowing amber eye set deep in a crack. Chips of granite and river rock orbit it as it rolls, a plume of dust trailing behind. Palette of granite grey, moss green, and ember amber against a dusty mountain slope at dusk. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It has no legs it trusts and no brakes at all, so it simply commits to the slope and lets gravity do the thinking. Villages in the valley below measure their years by the fresh furrow it leaves. It is not chasing anything; it has simply never found a reason to stop.",earth,,,
scythe-mantis,card,Scythe Mantis,"A towering praying mantis whose two arms each end in an enormous curved scythe of polished steel, the long metal blades bolted to its chitin and catching cold glints of light, veins of green still showing beneath the plates. Wings fold into a cloak of grass blades, antennae are thin stalks tipped with seed heads, eyes a cluster of pale jade facets. It rises from a crouch with both great scythes raised mid-swing. Palette of spring green, sunflower yellow, and gunmetal steel against a sunlit meadow. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It waits in the tall grass so still that the meadow forgets it is there, then folds a bird out of the air in a single green blur. The scythes bolted to its arms are sharpened after every molt, and it has never once needed a smith. Farmers speak of it the way they speak of a good harvest: with respect, and from a distance.",grass,,,
treeback-mammoth,card,Treeback Mammoth,"A massive woolly mammoth whose back has become a small forest, moss and grass carpeting its hide and a gnarled sapling rising between its shoulders, roots threading down its flanks. Tusks are bark-wrapped and curved, the trunk draped with hanging vines. It walks with slow, monumental weight, birds circling overhead. Palette of forest green, warm brown, and grey stone against a misty valley. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"A forest grew on its back so slowly that neither noticed. It carries the grove from valley to valley, and the birds nesting in it have been the same families for generations. When it finally lies down, a new wood will stand where it rested.",grass,,,
fire-mane-wolf,card,Fire Mane Wolf,"A lean wolf with a great mane of licking flame, fur scorched black at the roots and glowing ember-orange at the tips, the tail a trailing ribbon of fire. Its paws leave small burns on the ground and its breath vents smoke. It lopes forward, jaws parted, eyes bright molten gold. Palette of charred black, deep rust, and searing orange against a dry hillside at night. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Its mane is a banked fire that never quite goes out, and it shakes sparks loose when it runs. It hunts the dry hills in a pack of one, because nothing else can keep up with the heat. At night it looks like a torch moving through the brush, and the brush has learned to part.",fire,,,
sword-beak-crane,card,Sword Beak Crane,"An elegant crane with impossibly long legs and a slender neck, its beak a long straight sword of polished steel-grey, wings capped with bladed pinions. Feathers are white and pale blue tipped with black, a red crown sweeping back. It stands balanced on one leg, beak pointed forward in a fencer's stance. Palette of bone white, steel blue, and crimson against a misty marsh at dawn. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It fishes rivers that have long since dried and practices its thrust on the wind. The blade on its face was not forged; it grew, and it never dulls. Duelists travel a long way to lose to it, and it is always polite about the outcome.",physical,,,
horned-beaver,card,Horned Beaver,"A stocky beaver with curling ram-like horns of dark iron, its flat tail ridged like a shield and its incisors capped in ore. Fur is dense brown over a broad, low body, paws tipped with flint claws. It stands braced on a half-built dam, shoulders squared, eyes small and stubborn. Palette of warm brown, iron grey, and moss green against a flooded woodland. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It sharpened its teeth on a riverbed of iron and grew horns to match. Its dams hold back more than water: whole seasons pool behind them, and the forest downstream has forgotten what spring felt like. It is a patient builder and a terrible neighbor.",earth,,,
horned-rabbit,card,Horned Rabbit,"A compact hare with two short, sharp, antelope-like horns rising from its brow, oversized muscular hind legs and long ears swept back. Fur is warm tan and cream, the horns pale bone, nose twitching. It pauses mid-bound, ears half-flattened, eyes wide and wary. Palette of warm russet, cream, and stone grey against a windblown heath. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It grew a pair of horns to look dangerous, then discovered they were excellent for digging. Now it tunnels through roots and rocks alike, and its warren runs under half the moor. It is still easily startled, which is the one thing that keeps the moor interesting.",physical,,,
mushroom-back-turtle,card,Mushroom Back Turtle,"A squat earth turtle whose shell is buried beneath one enormous mushroom, a broad vermilion cap with pale gills and a spotted white stalk rising from moss-covered plates. The turtle is serene and slow, stubby legs sinking into wet leaves as spores drift in shafts of light. Palette of vermilion red, cream, and deep forest green against a gloomy woodland floor. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"A single vast mushroom grows from its shell, older than the turtle and, some say, in charge. Spores drift from it in slow gold clouds, and whatever they settle on grows a little too well. It walks the damp forest floor like a mobile, patient garden.",grass,,,
sleepy-bear,card,Sleepy Bear,"A huge, lumbering bear with heavy drooping eyelids and a belly like a boulder, thick shaggy fur matted with twigs and old leaves, one ear scarred. It yawns mid-stretch, arms wide, claws longer than they have any right to be. Palette of deep brown, grey, and sleepy amber against a shadowed cave mouth. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It has slept through three wars and one flood and considers all of them interruptions. Its den is lined with the armor of would-be hunters who mistook stillness for weakness. When it finally wakes hungry, the whole mountain hears about it.",physical,,,
frost-antler-elk,card,Frost Antler Elk,"A tall elk whose antlers are branching spires of translucent blue ice, light refracting through them in bright shards, its coat pale grey-white fur rimed with frost. Breath plumes into crystal and hooves leave ice in their prints. It stands head high in falling snow, eyes calm and pale. Palette of glacier blue, bone white, and deep sapphire against a snowy pine forest. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Its antlers are a coat of frost that never melts, grown into branches of clear blue ice. It walks the treeline where winter refuses to leave, and the cold follows it like a well-trained hound. To see it in summer is a rumor; to see it in winter is a warning.",ice,,,
glimmering-jellyfish,card,Glimmering Jellyfish,"A floating jellyfish whose bell is a dome of translucent glass, lit from within by rippling bands of cyan and violet light that run down long trailing tentacles. Its body is ghostly and soft-edged, trailing threads of luminous mist. It drifts upright in the dark water, tendrils curling. Palette of deep indigo, glowing cyan, and pale violet against a black ocean glimmering with plankton. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It is a lantern that learned to swim. Light travels down its tentacles in slow pulses, and creatures that follow it tend not to come back to the surface. Sailors call the glow a false harbor, and they are not entirely wrong.",water,,,
magma-crocodile,card,Magma Crocodile,"A long, low crocodile of black basalt plates split by glowing seams of lava, its ridged back a line of dark volcanic rock with molten orange running between the cracks, jaws slightly open to show ember teeth and a haze of heat. One claw grips a smoking rock. Palette of basalt black, molten orange, and ash grey against a cracked volcanic riverbed. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It sleeps in the cracked riverbed where the lava runs shallow and wakes when the ground moves wrong. Its hide is cooled basalt over a furnace, and the heat leaking from its jaws boils the water ahead of it. The old ferry crossing is now called its crossing.",fire;earth,,,
magma-turtle,card,Magma Turtle,"A squat tortoise whose shell is a cracked volcanic dome, molten orange glowing through the fissures and thin smoke rising from the vents, its stubby legs cooling basalt. The neck is wrinkled and the eyes ancient and calm. It plods forward across dark igneous rock. Palette of basalt black, ember orange, and ash grey against a smoking lava plain. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Its shell is a small caldera, and the vents along its rim smoke gently as it walks. It has been crossing the same lava field for a century, one slow step at a time, and the field has learned to make way. Nothing grows where it has rested.",fire;earth,,,
sword-bee,card,Sword Bee,"A large jet-black bee, its whole body a glossy soot-dark fuzz with only the faintest amber sheen, transparent wings blurred mid-beat. From the tip of its abdomen juts a long straight sword, steel hilt and all, angled forward like a lance ready to spear. It hovers in a fencing guard, front legs raised, compound eyes bright. Palette of pure black, cold steel, and dim amber against a sunlit summer meadow. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Its stinger grew long, straight, and edged, and the hive decided it was a soldier. It now patrols the meadow like a duelist, and the flowers still pay their tithe in pollen. It has never missed, and it never will.",physical,,,
giant-mosquito,card,Giant Mosquito,"A monstrous mosquito with a needle-like proboscis longer than its own body, translucent veined wings spread wide, and six long spindly legs. Its body is a swollen dark grey, eyes a cluster of deep red facets, a faint iridescent sheen on the wings. It hovers in the gloom, abdomen pulsing. Palette of swamp green-black, blood red, and dim amber against a foggy marsh at night. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It hatched in a swamp that had been fed something it should not have been, and it has been hungry ever since. Its needle is longer than a spear and it prefers its meals to still be moving. The village keeps its windows shut and its lamplight low.",dark,,,
frost-spider,card,Frost Spider,"A pale spider whose body is a cluster of crystal nodules, eight legs of jointed clear ice ending in sharp points, a web of frozen silk strung between icicles. Frost crystals bristle from its abdomen, eyes bright and faceted. It crouches at the center of its web, patient. Palette of pale glacier blue, white frost, and faint violet against a frozen cave mouth. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It spins its web between icicles and the silk freezes solid before it can sag. Its eight eyes catch the low winter sun and scatter it into cold little rainbows. Prey that wanders in is simply kept, perfectly and indefinitely.",ice,,,
rock-troll,card,Rock Troll,"A hulking brute of a troll, grey granite plates for skin, a hunched back crusted with boulders and moss, a heavy jaw with blunt tusks and small suspicious eyes. Enormous fists drag near the ground and one shoulder sprouts a tiny tree. Palette of granite grey, moss green, and dull brown against a rocky ravine. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It is not made of stone; it simply carries so much of the mountain on its back that the difference stopped mattering. It sleeps under bridges and charges a toll of riddles, and it is not very good at riddles. Few travelers complain, because the alternative is the boulder.",earth,,,
snow-golem,card,Snow Golem,"A towering golem of packed snow and blue ice, its massive torso a blocky slab, arms wrapped in frozen rope and boulders for fists, a single glowing pale-blue rune set in its blank face. Frost crusts every edge and icicles hang from its shoulders. It stands mid-stride, snow drifting from its frame. Palette of pale blue, white, and deep winter shadow against a mountain pass at dusk. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Someone built it to guard a pass and then never came back, so it guards the pass still. It is packed from snow that has not fallen in years, held together by stubbornness and cold. Its footprints refreeze behind it, which is how you know it has been very close.",ice,,,
mountain-goat,card,Mountain Goat,"A powerful mountain goat with broad spiral horns banded in brass and copper, a thick shaggy white-and-grey coat, and heavy split hooves braced on a near-vertical rock face. Muscular shoulders and a short beard. It stands sure-footed at the edge of a precipice, looking down with calm disdain. Palette of bone white, slate grey, and brass accents against a windswept alpine cliff. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,It climbs cliffs that have no business being climbed and stands on ledges too small to hold it. The mineral veins it licks give its horns a brassy sheen. It has watched more climbers fall than it has ever bothered to count.,earth,,,
razor-leaf,card,Razor Leaf,"A floating leaf-creature shaped like a long curved blade of vivid green, its edges gleaming razor-thin, veins running down its length like a spine. A pair of small dark eyes and trailing thin stems give it a watchful face. A thin haze of drifting leaf-litter follows it. Palette of emerald green, lime, and autumn gold against a sunlit grassy field. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It is a single leaf that decided it would rather be a blade. It drifts on the wind, catching light on green edges sharp enough to draw blood, and it remembers every hand that has tried to pick it. Meadows whisper about it in their own green way.",grass,,,
sword-fish,card,Sword Fish,"A sleek fish of pure, flawless white, its body unmarked and gleaming like polished bone, the dorsal fin a torn sail and the tail a crescent hammer. In place of a beak it carries a double-bladed sword, two long edges meeting at a point, fixed to its snout and cutting the water ahead. It lunges forward through a wall of spray, eye fierce. Palette of snow white and silver steel against deep ocean blue under a bright sky. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It has run through three ships and apologized to none of them. Its bill is a blade honed by the pressure of the deep, and it practices on anything that floats. Fishermen who hook it are advised to let go of the rod.",water,,,
fire-monkey,card,Fire Monkey,"A nimble monkey with fur singed at the tips and a blazing tail curling like a question mark, small ember-orange flames dancing between its cupped hands. Mischievous wide eyes, a long prehensile tail, quick limbs caught mid-leap between branches. Palette of scorched brown, vivid orange, and deep crimson against a jungle canopy at dusk. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"It stole a coal from a campfire and has refused to give it back ever since. It juggles the flame between its hands when bored and throws it when angry, which is often. The whole canopy has learned to duck.",fire,,,
knuckle-monkey,card,Knuckle Monkey,"A stocky monkey with enormous overdeveloped arms and thick callused stone-grey knuckles, its body compact and lean, a flat determined brow over small bright eyes. It stands braced on its knuckles, weight forward, ready to charge. Palette of warm brown, stone grey, and pale cream against a dusty jungle clearing. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,It walks on its fists because its arms grew too heavy to do anything else. Its knuckles are callused into stone and it settles every argument by punching the nearest tree. The tree usually loses.,physical,,,
firetail-boar,card,Firetail Boar,"A massive boar with a bristling ridge of spines along its back, tusks curved and tipped with ember light, and a tail that burns like a torch, trailing sparks. Heavy shoulders and a coarse black-brown hide. It paws the ground mid-charge, snout lowered, eyes burning red. Palette of charcoal black, burnt umber, and fiery orange against a dark forest floor. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",,,,,,,"Its tail burns like a torch and it charges at anything that looks at it wrong. Herds follow the glow through the dark forest, and the boar leads them straight through anything in the way. When it stamps, the underbrush catches.",fire,,,
common_shard,material,Common Shard,"A jagged sliver of pale grey crystal, roughly leaf-shaped with a fractured base, floating upright so light catches its inner planes. Its surface is matte and cloudy like frosted glass, with dim white motes drifting inside and one chipped edge. Cool neutral palette of ash grey, bone white and faint silver. It hovers above a soft dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,shard,1,1
uncommon_shard,material,Uncommon Shard,"A faceted shard of vibrant jade-green crystal, tapered like a shard of bottle glass with a broken tip, hovering point-down. Veins of brighter emerald pulse beneath a polished cloudy surface, and mossy flecks cling to its base. Fresh greens with a hint of yellow at the core. It floats over a dark earthen backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,shard,2,2
rare_shard,material,Rare Shard,"A keen shard of deep sapphire-blue crystal, cut like a splinter of ice with a razor tip, suspended point-down. Its clear facet hides an inner glow of cobalt currents and a scatter of tiny white sparks, while condensation beads along the edges. Azure, cyan and deep navy palette. It floats over a dark cool-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,shard,3,3
epic_shard,material,Epic Shard,"A slender shard of vivid amethyst crystal, its two long faces meeting at a sharp point, hovering tip-down. Deep violet light pulses in a vein down its centre and minute runes glimmer near the fracture at its base. Rich purple, magenta and indigo palette with a cold white highlight. It floats over a dark arcane backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,shard,4,4
mythic_shard,material,Mythic Shard,"A slender shard of radiant golden crystal, its faces catching light like cut topaz, hovering point-down so the glow spills from its base. A molten amber heart flickers at its centre and fine gold filaments run along every edge. Brilliant gold, amber and warm white palette. It floats over a dark vault backdrop with motes of light rising. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,shard,5,5
lesser_physical_core,material,Lesser Physical Core,"A small, roughly cut crystal heart in dull gunmetal grey, its facets chipped and unpolished, veins of pale iron running through a cloudy core. It rests point-down, heavy and inert, with a faint metallic sheen the only life in it. Neutral steel, ash and slate palette. It sits on a dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_physical_core,material,Greater Physical Core,"A chunky faceted crystal heart in polished steel grey, its edges now clean and its inner iron veins glowing a soft cold white. Iron filings drift around it like dust in a magnetic field. Cool gunmetal, silver and charcoal palette. It balances point-down over a dark stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_physical_core,material,Mythic Physical Core,"A large ornate crystal heart of layered steel and smoky quartz, bands of engraved metal clasping its waist and pale runes faintly lit inside. Cold white light leaks through hairline fractures. Steel grey, platinum and deep charcoal palette. It hangs point-down over a dark forged backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_physical_core,material,Legendary Physical Core,"A monumental crystal heart of blackened steel and clear quartz, wrapped in intricate clockwork filigree, its core blazing with steady white fire. Chained iron inlays spiral across mirror-polished facets. Platinum, gunmetal and brilliant white palette. It floats point-down over a dark anvil backdrop with sparks rising. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_fire_core,material,Lesser Fire Core,"A small rough crystal heart in dull ember orange, its cracked facets holding cooling lava like a dying coal. Thin smoke curls from its seams and warm ash dusts its base. Deep ember, rust and charcoal palette. It rests point-down on a dark hearth-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_fire_core,material,Greater Fire Core,"A chunky faceted crystal heart of glowing magma, polished faces over a molten core that shifts from orange to yellow. Sparks drift from hairline cracks and a faint heat shimmer bends the air around it. Molten orange, scorched black and gold palette. It hovers point-down over a dark volcanic backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_fire_core,material,Mythic Fire Core,"A large ornate crystal heart of obsidian wrapped in brass clasps, its molten core bright with whorled fire runes. Smoke and cinders rise through engraved channels along its facets. Crimson, brass and charcoal palette. It hangs point-down over a dark forge backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_fire_core,material,Legendary Fire Core,"A monumental crystal heart of black volcanic glass and white-hot magma, encircled by a crown of intricate brass and burning runes. Its core is a blinding furnace shedding embers and ribbons of flame. Brilliant gold, blood red and deep black palette. It floats point-down over a dark caldera backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_water_core,material,Lesser Water Core,"A small rough crystal heart of murky sea-blue, its cloudy facets holding a slow swirling current and a single trapped bubble. Foam-flecked and faintly wet, it drips one clear drop from its tip. Deep teal, seafoam and slate palette. It rests point-down on a dark wet-stone backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_water_core,material,Greater Water Core,"A chunky faceted crystal heart of clear ocean blue, polished faces over a core where currents spiral and small whitecaps break. Water beads across its surface and mist collects at its tip. Azure, cyan and deep navy palette. It hovers point-down over a dark tide-pool backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_water_core,material,Mythic Water Core,"A large ornate crystal heart of abyssal blue ringed by silver wave filigree, its core a slow luminous whirlpool with drifting bubbles. Sea spray hangs frozen around it. Sapphire, pearl and midnight palette. It hangs point-down over a dark ocean backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_water_core,material,Legendary Water Core,"A monumental crystal heart of deep-sea crystal sheathed in pearl and silver coral, its core a churning maelstrom lit by glowing currents. Ribbons of water spiral around it and a crown of frozen foam rings its tip. Brilliant cyan, abyssal blue and silver palette. It floats point-down over a dark trench backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_electric_core,material,Lesser Electric Core,"A small rough crystal heart of cloudy yellow quartz, its cracked facets snapping with thin static arcs and a single dim spark in the core. A faint charge lifts loose grit around it. Dull amber, pale yellow and slate palette. It rests point-down on a dark metal backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_electric_core,material,Greater Electric Core,"A chunky faceted crystal heart of bright electric yellow, polished faces over a core that flickers with branching lightning. Loose sparks jump between its edges and fine copper wires cling to its base. Vivid yellow, white and charcoal palette. It hovers point-down over a dark storm backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_electric_core,material,Mythic Electric Core,"A large ornate crystal heart of yellow crystal bound in copper coil, its core a contained storm of forked lightning and glowing ring marks. Constant arcs crawl across engraved facets. Golden yellow, copper and deep slate palette. It hangs point-down over a dark thundercloud backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_electric_core,material,Legendary Electric Core,"A monumental crystal heart of golden electrum wrapped in a crown of copper and iron, its core a blinding cage of white lightning. Great arcs leap outward in all directions and the air hums with charge. Brilliant white, electric yellow and bronze palette. It floats point-down over a dark thunderhead backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_grass_core,material,Lesser Grass Core,"A small rough crystal heart of mossy green, its cloudy facets shot through with fine roots and a single unfurling sprout at its tip. Loose soil and pollen cling to it. Dull olive, moss and earth-brown palette. It rests point-down on a dark forest-floor backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_grass_core,material,Greater Grass Core,"A chunky faceted crystal heart of vivid leaf-green, polished faces over a core woven with glowing vines and drifting spores. Small leaves unfurl from cracks along its sides. Fresh green, chartreuse and bark-brown palette. It hovers point-down over a dark woodland backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_grass_core,material,Mythic Grass Core,"A large ornate crystal heart of jade cored with living sap, ringed by blooming flowers and curled vines that glow faintly. Fireflies drift around it through a haze of pollen. Emerald, jade and warm brown palette. It hangs point-down over a dark overgrown-ruin backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_grass_core,material,Legendary Grass Core,"A monumental crystal heart of heartwood and emerald, its core a lush heartbeat of light with a great tree's roots and branches coiling from its crown. Blossoms and golden pollen swirl around it. Brilliant green, gold and bark-brown palette. It floats point-down over a dark ancient-grove backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_earth_core,material,Lesser Earth Core,"A small rough crystal heart of dull ochre stone, its cracked facets speckled with grit and one embedded pebble. Heavy and unfinished, it sits low and stubborn. Muted brown, clay and grey palette. It rests point-down on a dark soil backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_earth_core,material,Greater Earth Core,"A chunky faceted crystal heart of polished sandstone and agate, its bands glowing faintly in earthy colours around a core of packed soil. Small stones orbit it like satellites. Warm ochre, terracotta and slate palette. It hovers point-down over a dark rocky backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_earth_core,material,Mythic Earth Core,"A large ornate crystal heart of layered stone carved with angular runes, its core a glowing vein of molten gold ore. Floating rock fragments ring its waist and dust drifts around it. Ochre, agate-red and gold palette. It hangs point-down over a dark cavern backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_earth_core,material,Legendary Earth Core,"A monumental crystal heart of mountain granite banded with precious ore, its core a luminous geode of amethyst and gold. Great stone shards orbit it in a ring and dust storms spiral outward. Brilliant ochre, amethyst and gold palette. It floats point-down over a dark canyon backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_ice_core,material,Lesser Ice Core,"A small rough crystal heart of pale frost-white, its cloudy facets holding a single trapped snowflake and a thread of frozen water. Cold vapour curls from its tip. Pale cyan, white and slate palette. It rests point-down on a dark icy backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_ice_core,material,Greater Ice Core,"A chunky faceted crystal heart of clear glacial blue, polished faces over a core of frozen currents and suspended shards of ice. Frost forms and melts along its edges. Cyan, pale blue and white palette. It hovers point-down over a dark frozen-lake backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_ice_core,material,Mythic Ice Core,"A large ornate crystal heart of prismatic ice ringed by a frost filigree, its core refracting light into cold rainbows. Snow dust and tiny ice shards drift around it. Brilliant cyan, prism white and deep blue palette. It hangs point-down over a dark glacier backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_ice_core,material,Legendary Ice Core,"A monumental crystal heart of ancient glacier ice sheathed in a crown of frozen crystal, its core a blinding prism splitting light into aurora bands. Blizzard snow spirals outward and shards hover in orbit. Brilliant white, cyan and violet palette. It floats point-down over a dark polar backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_dragon_core,material,Lesser Dragon Core,"A small rough crystal heart of dusky crimson, its facets marked like scales and seeded with a single embryonic scale. Faint heat simmers beneath it. Deep crimson, bronze and charcoal palette. It rests point-down on a dark hoard backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_dragon_core,material,Greater Dragon Core,"A chunky faceted crystal heart of ruby red, its surface layered in polished scale plates around a core of glowing draconic blood. Small shed scales drift around it. Vivid crimson, gold and dark bronze palette. It hovers point-down over a dark treasure backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_dragon_core,material,Mythic Dragon Core,"A large ornate crystal heart of crimson gemstone wrapped in gold regalia, its core burning with a coiled serpent of light. Scale plates ripple across it and coins circle in its wake. Royal crimson, gold and black palette. It hangs point-down over a dark throne backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_dragon_core,material,Legendary Dragon Core,"A monumental crystal heart of dragonstone ringed in a crown of red-gold regalia, its core a coiled dragon of living fire with spread wings. Molten scale shards orbit it and treasure glints below. Brilliant ruby, gold and obsidian palette. It floats point-down over a dark dragon-hoard backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
lesser_dark_core,material,Lesser Dark Core,"A small rough crystal heart of smoky black quartz, its cloudy facets bleeding thin wisps of shadow and a dim violet pinprick at its core. Ash dusts its base. Charcoal, bruised purple and slate palette. It rests point-down on a dark crypt backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,1,1
greater_dark_core,material,Greater Dark Core,"A chunky faceted crystal heart of obsidian black, polished faces over a core of swirling violet smoke that never settles. Shadow wisps peel off and curl around it. Deep black, indigo and faint magenta palette. It hovers point-down over a dark ruined-altar backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,2,2
mythic_dark_core,material,Mythic Dark Core,"A large ornate crystal heart of black glass bound in tarnished silver, its core an eye of violet void with faint runes crawling across its facets. Smoke pours from every seam. Void black, violet and silver palette. It hangs point-down over a dark catacomb backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,3,3
legendary_dark_core,material,Legendary Dark Core,"A monumental crystal heart of pure void obsidian crowned with tarnished silver, its core a devouring violet eclipse ringed by drifting shadow. Bats of smoke spiral around it and runes burn cold. Brilliant violet, deep black and silver palette. It floats point-down over a dark abyss backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents",,,,,,,,,core,4,4
